Date,DateKey,Year,Quarter,Month_Number,Month_Name,Season
2015-01-01,20150101,2015,2015Q1,1,January,Winter
2015-02-01,20150201,2015,2015Q1,2,February,Winter
2015-03-01,20150301,2015,2015Q1,3,March,Spring
2015-04-01,20150401,2015,2015Q2,4,April,Spring
2015-05-01,20150501,2015,2015Q2,5,May,Spring
2015-06-01,20150601,2015,2015Q2,6,June,Monsoon
2015-07-01,20150701,2015,2015Q3,7,July,Monsoon
2015-08-01,20150801,2015,2015Q3,8,August,Monsoon
2015-09-01,20150901,2015,2015Q3,9,September,Monsoon
2015-10-01,20151001,2015,2015Q4,10,October,Autumn
2015-11-01,20151101,2015,2015Q4,11,November,Autumn
2015-12-01,20151201,2015,2015Q4,12,December,Winter
2016-01-01,20160101,2016,2016Q1,1,January,Winter
2016-02-01,20160201,2016,2016Q1,2,February,Winter
2016-03-01,20160301,2016,2016Q1,3,March,Spring
2016-04-01,20160401,2016,2016Q2,4,April,Spring
2016-05-01,20160501,2016,2016Q2,5,May,Spring
2016-06-01,20160601,2016,2016Q2,6,June,Monsoon
2016-07-01,20160701,2016,2016Q3,7,July,Monsoon
2016-08-01,20160801,2016,2016Q3,8,August,Monsoon
2016-09-01,20160901,2016,2016Q3,9,September,Monsoon
2016-10-01,20161001,2016,2016Q4,10,October,Autumn
2016-11-01,20161101,2016,2016Q4,11,November,Autumn
2016-12-01,20161201,2016,2016Q4,12,December,Winter
2017-01-01,20170101,2017,2017Q1,1,January,Winter
2017-02-01,20170201,2017,2017Q1,2,February,Winter
2017-03-01,20170301,2017,2017Q1,3,March,Spring
2017-04-01,20170401,2017,2017Q2,4,April,Spring
2017-05-01,20170501,2017,2017Q2,5,May,Spring
2017-06-01,20170601,2017,2017Q2,6,June,Monsoon
2017-07-01,20170701,2017,2017Q3,7,July,Monsoon
2017-08-01,20170801,2017,2017Q3,8,August,Monsoon
2017-09-01,20170901,2017,2017Q3,9,September,Monsoon
2017-10-01,20171001,2017,2017Q4,10,October,Autumn
2017-11-01,20171101,2017,2017Q4,11,November,Autumn
2017-12-01,20171201,2017,2017Q4,12,December,Winter
2018-01-01,20180101,2018,2018Q1,1,January,Winter
2018-02-01,20180201,2018,2018Q1,2,February,Winter
2018-03-01,20180301,2018,2018Q1,3,March,Spring
2018-04-01,20180401,2018,2018Q2,4,April,Spring
2018-05-01,20180501,2018,2018Q2,5,May,Spring
2018-06-01,20180601,2018,2018Q2,6,June,Monsoon
2018-07-01,20180701,2018,2018Q3,7,July,Monsoon
2018-08-01,20180801,2018,2018Q3,8,August,Monsoon
2018-09-01,20180901,2018,2018Q3,9,September,Monsoon
2018-10-01,20181001,2018,2018Q4,10,October,Autumn
2018-11-01,20181101,2018,2018Q4,11,November,Autumn
2018-12-01,20181201,2018,2018Q4,12,December,Winter
2019-01-01,20190101,2019,2019Q1,1,January,Winter
2019-02-01,20190201,2019,2019Q1,2,February,Winter
2019-03-01,20190301,2019,2019Q1,3,March,Spring
2019-04-01,20190401,2019,2019Q2,4,April,Spring
2019-05-01,20190501,2019,2019Q2,5,May,Spring
2019-06-01,20190601,2019,2019Q2,6,June,Monsoon
2019-07-01,20190701,2019,2019Q3,7,July,Monsoon
2019-08-01,20190801,2019,2019Q3,8,August,Monsoon
2019-09-01,20190901,2019,2019Q3,9,September,Monsoon
2019-10-01,20191001,2019,2019Q4,10,October,Autumn
2019-11-01,20191101,2019,2019Q4,11,November,Autumn
2019-12-01,20191201,2019,2019Q4,12,December,Winter
2020-01-01,20200101,2020,2020Q1,1,January,Winter
2020-02-01,20200201,2020,2020Q1,2,February,Winter
2020-03-01,20200301,2020,2020Q1,3,March,Spring
2020-04-01,20200401,2020,2020Q2,4,April,Spring
2020-05-01,20200501,2020,2020Q2,5,May,Spring
2020-06-01,20200601,2020,2020Q2,6,June,Monsoon
2020-07-01,20200701,2020,2020Q3,7,July,Monsoon
2020-08-01,20200801,2020,2020Q3,8,August,Monsoon
2020-09-01,20200901,2020,2020Q3,9,September,Monsoon
2020-10-01,20201001,2020,2020Q4,10,October,Autumn
2020-11-01,20201101,2020,2020Q4,11,November,Autumn
2020-12-01,20201201,2020,2020Q4,12,December,Winter
2021-01-01,20210101,2021,2021Q1,1,January,Winter
2021-02-01,20210201,2021,2021Q1,2,February,Winter
2021-03-01,20210301,2021,2021Q1,3,March,Spring
2021-04-01,20210401,2021,2021Q2,4,April,Spring
2021-05-01,20210501,2021,2021Q2,5,May,Spring
2021-06-01,20210601,2021,2021Q2,6,June,Monsoon
2021-07-01,20210701,2021,2021Q3,7,July,Monsoon
2021-08-01,20210801,2021,2021Q3,8,August,Monsoon
2021-09-01,20210901,2021,2021Q3,9,September,Monsoon
2021-10-01,20211001,2021,2021Q4,10,October,Autumn
2021-11-01,20211101,2021,2021Q4,11,November,Autumn
2021-12-01,20211201,2021,2021Q4,12,December,Winter
2022-01-01,20220101,2022,2022Q1,1,January,Winter
2022-02-01,20220201,2022,2022Q1,2,February,Winter
2022-03-01,20220301,2022,2022Q1,3,March,Spring
2022-04-01,20220401,2022,2022Q2,4,April,Spring
2022-05-01,20220501,2022,2022Q2,5,May,Spring
2022-06-01,20220601,2022,2022Q2,6,June,Monsoon
2022-07-01,20220701,2022,2022Q3,7,July,Monsoon
2022-08-01,20220801,2022,2022Q3,8,August,Monsoon
2022-09-01,20220901,2022,2022Q3,9,September,Monsoon
2022-10-01,20221001,2022,2022Q4,10,October,Autumn
2022-11-01,20221101,2022,2022Q4,11,November,Autumn
2022-12-01,20221201,2022,2022Q4,12,December,Winter
2023-01-01,20230101,2023,2023Q1,1,January,Winter
2023-02-01,20230201,2023,2023Q1,2,February,Winter
2023-03-01,20230301,2023,2023Q1,3,March,Spring
2023-04-01,20230401,2023,2023Q2,4,April,Spring
2023-05-01,20230501,2023,2023Q2,5,May,Spring
2023-06-01,20230601,2023,2023Q2,6,June,Monsoon
2023-07-01,20230701,2023,2023Q3,7,July,Monsoon
2023-08-01,20230801,2023,2023Q3,8,August,Monsoon
2023-09-01,20230901,2023,2023Q3,9,September,Monsoon
2023-10-01,20231001,2023,2023Q4,10,October,Autumn
2023-11-01,20231101,2023,2023Q4,11,November,Autumn
2023-12-01,20231201,2023,2023Q4,12,December,Winter
2024-01-01,20240101,2024,2024Q1,1,January,Winter
2024-02-01,20240201,2024,2024Q1,2,February,Winter
2024-03-01,20240301,2024,2024Q1,3,March,Spring
2024-04-01,20240401,2024,2024Q2,4,April,Spring
2024-05-01,20240501,2024,2024Q2,5,May,Spring
2024-06-01,20240601,2024,2024Q2,6,June,Monsoon
2024-07-01,20240701,2024,2024Q3,7,July,Monsoon
2024-08-01,20240801,2024,2024Q3,8,August,Monsoon
2024-09-01,20240901,2024,2024Q3,9,September,Monsoon
2024-10-01,20241001,2024,2024Q4,10,October,Autumn
2024-11-01,20241101,2024,2024Q4,11,November,Autumn
2024-12-01,20241201,2024,2024Q4,12,December,Winter
2025-01-01,20250101,2025,2025Q1,1,January,Winter
2025-02-01,20250201,2025,2025Q1,2,February,Winter
2025-03-01,20250301,2025,2025Q1,3,March,Spring
2025-04-01,20250401,2025,2025Q2,4,April,Spring
2025-05-01,20250501,2025,2025Q2,5,May,Spring
2025-06-01,20250601,2025,2025Q2,6,June,Monsoon
2025-07-01,20250701,2025,2025Q3,7,July,Monsoon
2025-08-01,20250801,2025,2025Q3,8,August,Monsoon
2025-09-01,20250901,2025,2025Q3,9,September,Monsoon
2025-10-01,20251001,2025,2025Q4,10,October,Autumn
2025-11-01,20251101,2025,2025Q4,11,November,Autumn
2025-12-01,20251201,2025,2025Q4,12,December,Winter
